HISP_label,MIG_label,LANP,PINCP,NP,RNTP,AGEP
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,75000,2,1300,32
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,2,1300,14
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,100000,2,1300,56
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,2,1300,62
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,72000,1,850,48
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,35000,3,240,29
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,3,240,5
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,11400,3,240,57
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,23000,1,800,61
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,9500,1,300,69
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,6000,2,510,44
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,660,2,510,18
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,35000,1,1600,29
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,8700,5,370,37
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,5,370,44
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,10000,5,370,17
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,5,370,16
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,5,370,11
Dominican,"Yes, same house (nonmovers)",1200,67030,2,1100,30
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,65000,2,1100,34
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,15000,2,800,62
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,8000,2,800,61
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,31200,3,500,46
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,500,12
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,16000,3,500,49
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,9290,1,220,70
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,770,2,650,56
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,12200,2,650,54
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,40000,1,1400,44
Guatemalan,"Yes, same house (nonmovers)",1200,8400,1,500,29
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,9000,3,600,58
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,37000,3,600,27
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,3,600,6
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,42000,1,550,57
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,30000,3,530,62
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,4500,3,530,55
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,13000,3,530,22
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,58000,1,490,47
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,40000,1,830,39
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,80000,4,850,35
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,30000,4,850,31
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,4,850,15
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,850,13
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,124000,1,1300,50
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,13200,1,400,63
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,21000,3,860,47
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,13000,3,860,27
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,3,860,7
Not Spanish/Hispanic/Latino,"No, outside US and Puerto Rico",0999,23500,1,550,48
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,70000,3,860,50
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",1200,15600,3,860,21
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,860,2
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,17000,1,500,75
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,40000,2,600,52
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,16500,2,600,21
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,28300,1,650,64
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,44000,2,800,29
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,2,800,4
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,1100,2,750,63
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,1500,2,750,62
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,38000,2,620,40
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,34000,2,620,54
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,17000,3,1000,62
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,45000,3,1000,39
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,7000,3,1000,21
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,36000,2,1100,55
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,25000,2,1100,60
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,10000,4,800,33
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,4,800,4
Not Spanish/Hispanic/Latino,N/A (less than 1 year old),0999,-19999,4,800,0
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,24000,4,800,37
Mexican,"Yes, same house (nonmovers)",1200,22100,5,400,27
Mexican,"Yes, same house (nonmovers)",0999,-19999,5,400,4
Mexican,"Yes, same house (nonmovers)",0999,-19999,5,400,2
Mexican,N/A (less than 1 year old),0999,-19999,5,400,0
Mexican,"Yes, same house (nonmovers)",0999,12000,5,400,26
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,14500,1,800,69
Salvadoran,"Yes, same house (nonmovers)",1200,6000,4,1200,56
Salvadoran,"Yes, same house (nonmovers)",1200,31000,4,1200,56
Salvadoran,"Yes, same house (nonmovers)",1200,30000,4,1200,32
Salvadoran,"Yes, same house (nonmovers)",1200,32000,4,1200,25
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,40000,1,1100,27
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,55000,3,800,47
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,3,800,47
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,3,800,29
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,42000,2,980,31
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,2,980,7
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,36000,1,650,40
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,39800,2,1300,66
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,52000,2,1300,52
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,0,1,1600,23
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,60900,1,500,25
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,38000,2,990,31
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,8450,2,990,30
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,112000,4,1600,37
Ecuadorian,"Yes, same house (nonmovers)",1200,16000,4,1600,38
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,1600,12
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,1600,8
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,18000,3,800,32
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,800,12
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,800,4
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,17200,1,380,54
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,19600,2,1400,65
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,82000,2,1400,62
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,51000,4,1100,45
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,55000,4,1100,44
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,1100,7
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,4,1100,16
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,40000,3,750,25
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,750,6
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,750,1
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,37000,1,850,68
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,20000,4,1500,41
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,1500,12
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,1500,11
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,1500,9
Mexican,"Yes, same house (nonmovers)",0999,18000,2,1200,31
Mexican,"Yes, same house (nonmovers)",0999,-19999,2,1200,12
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,25000,2,650,25
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,19000,2,650,21
Mexican,"Yes, same house (nonmovers)",1200,26000,1,800,40
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,55000,4,510,42
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,74000,4,510,41
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,4,510,16
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,510,11
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,50000,1,800,47
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,18900,1,400,76
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,12100,1,450,63
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,7200,2,500,64
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,8000,2,500,38
Mexican,"Yes, same house (nonmovers)",1200,10400,6,1400,33
Mexican,"Yes, same house (nonmovers)",1200,85000,6,1400,42
Mexican,"Yes, same house (nonmovers)",1200,-19999,6,1400,14
Mexican,"Yes, same house (nonmovers)",0999,-19999,6,1400,9
Mexican,"Yes, same house (nonmovers)",0999,-19999,6,1400,7
Mexican,"Yes, same house (nonmovers)",0999,-19999,6,1400,4
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,48400,5,430,27
Puerto Rican,"No, different house in US or Puerto Rico",1200,-19999,5,430,6
Puerto Rican,"No, different house in US or Puerto Rico",1200,-19999,5,430,5
Puerto Rican,N/A (less than 1 year old),0999,-19999,5,430,0
Puerto Rican,"No, different house in US or Puerto Rico",1200,1700,5,430,29
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,32000,5,790,28
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,23600,5,790,31
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,5,790,10
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,5,790,4
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,5,790,3
Not Spanish/Hispanic/Latino,"No, outside US and Puerto Rico",1170,80000,2,1800,30
Not Spanish/Hispanic/Latino,"No, outside US and Puerto Rico",0999,5000,2,1800,25
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,12300,1,130,83
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,2,250,51
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,10800,2,250,60
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,49000,2,900,31
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,36000,2,900,33
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,15200,1,480,55
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,48800,2,1200,48
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",4500,29000,2,1200,43
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,37300,3,700,62
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,3,700,54
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,10000,3,700,26
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,20000,1,780,70
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,18900,1,400,64
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,37000,1,1100,25
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,36000,2,400,54
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,2,400,49
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,40000,3,780,39
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,40000,3,780,43
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,780,8
Not Spanish/Hispanic/Latino,"No, outside US and Puerto Rico",0999,80000,3,1500,40
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,51000,3,1500,41
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,3,1500,13
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,12000,1,580,31
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,43600,2,680,61
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,2,680,73
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,24000,3,500,67
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,3,500,41
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,7200,3,500,18
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,14300,2,850,65
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,8400,2,850,61
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,9000,2,800,46
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,2,800,10
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,55000,1,660,33
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,55000,1,1300,31
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,20000,4,650,27
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,650,1
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,650,7
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,68000,4,650,26
Mexican,"Yes, same house (nonmovers)",1200,9000,12,500,57
Mexican,"Yes, same house (nonmovers)",1200,14500,12,500,32
Mexican,"Yes, same house (nonmovers)",1200,14400,12,500,85
Mexican,"Yes, same house (nonmovers)",0999,0,12,500,19
Mexican,"Yes, same house (nonmovers)",0999,0,12,500,18
Mexican,"Yes, same house (nonmovers)",0999,0,12,500,17
Mexican,"Yes, same house (nonmovers)",0999,-19999,12,500,13
Mexican,"Yes, same house (nonmovers)",0999,-19999,12,500,9
Mexican,"Yes, same house (nonmovers)",0999,-19999,12,500,7
Mexican,"Yes, same house (nonmovers)",0999,-19999,12,500,6
Mexican,"Yes, same house (nonmovers)",0999,-19999,12,500,5
Mexican,"Yes, same house (nonmovers)",0999,-19999,12,500,2
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,70000,6,1400,49
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,17000,6,1400,25
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,6,1400,4
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,6,1400,14
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,0,6,1400,71
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,10200,6,1400,34
Mexican,"Yes, same house (nonmovers)",0999,10000,5,750,37
Mexican,"Yes, same house (nonmovers)",1200,0,5,750,19
Mexican,"Yes, same house (nonmovers)",1200,0,5,750,16
Mexican,"Yes, same house (nonmovers)",1200,-19999,5,750,9
Mexican,"Yes, same house (nonmovers)",0999,-19999,5,750,3
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,44450,3,700,30
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,700,11
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,700,7
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,28600,6,800,30
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,67000,6,800,35
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,6,800,6
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,6,800,6
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,6,800,3
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,6,800,1
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,20000,3,1100,21
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,36000,3,1100,21
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,0,3,1100,21
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,58000,1,910,55
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,18000,4,600,35
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,8800,4,600,18
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,600,9
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,4,600,58
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,10800,1,300,63
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,40000,1,750,53
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,11000,1,500,87
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,38000,1,240,34
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,71000,2,580,48
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,40000,2,580,27
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,11000,2,1000,77
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,57400,2,1000,68
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",1200,60000,1,650,34
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,103000,1,1300,41
All Other Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",1210,0,2,2800,46
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,85000,2,2800,49
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,48000,3,1100,32
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,3,1100,30
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,1100,1
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,30000,1,1000,33
Mexican,"Yes, same house (nonmovers)",1200,12000,1,930,21
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,36400,1,900,53
Not Spanish/Hispanic/Latino,"No, outside US and Puerto Rico",0999,18000,2,1200,28
Not Spanish/Hispanic/Latino,"No, outside US and Puerto Rico",1170,24000,2,1200,26
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,21000,1,600,59
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,20400,1,140,72
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,2,120,52
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,8800,2,120,30
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,31000,4,850,30
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,14200,4,850,32
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,850,5
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,850,2
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,0,3,1100,19
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,0,3,1100,21
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,0,3,1100,21
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,39400,1,1100,67
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,9600,4,550,75
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,6000,4,550,52
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,4,550,29
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,29000,4,550,54
Mexican,"No, different house in US or Puerto Rico",0999,24000,3,690,21
Mexican,"No, different house in US or Puerto Rico",0999,19000,3,690,22
Mexican,"No, different house in US or Puerto Rico",0999,-19999,3,690,1
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,20600,2,1000,58
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,2,1000,47
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,72000,5,1200,38
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,40000,5,1200,39
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,50000,5,1200,21
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,5,1200,16
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,5,1200,5
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,9600,1,140,67
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,45000,2,980,32
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,27000,2,980,31
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,59500,1,2800,84
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,12600,2,400,77
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,9300,2,400,82
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,30000,1,920,69
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,28000,1,710,27
Colombian,"No, outside US and Puerto Rico",1200,123000,4,800,36
Colombian,"No, outside US and Puerto Rico",1200,0,4,800,40
Colombian,"No, outside US and Puerto Rico",1200,-19999,4,800,14
Colombian,N/A (less than 1 year old),0999,-19999,4,800,0
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,2620,1,800,19
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,9000,3,1000,66
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,65000,3,1000,60
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,6000,3,1000,17
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,15000,1,470,56
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,50000,3,980,76
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,12000,3,980,28
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,3,980,1
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,9600,1,430,51
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,19600,3,1300,50
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,24300,3,1300,26
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,14000,3,1300,25
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",1025,86000,2,920,42
Not Spanish/Hispanic/Latino,"No, outside US and Puerto Rico",1025,570,2,920,33
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,55600,1,570,45
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,110000,3,960,40
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,0,3,960,16
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,-19999,3,960,14
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,30000,1,470,37
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",2575,65000,4,1200,43
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",2575,0,4,1200,44
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",2575,-19999,4,1200,11
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",2575,-19999,4,1200,10
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,0,2,1200,38
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,8900,2,1200,21
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,3000,1,830,27
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,63000,2,700,61
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,7700,2,700,58
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,15000,2,510,28
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,25000,2,510,27
Mexican,"Yes, same house (nonmovers)",0999,38000,4,500,50
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,4000,4,500,23
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,4,500,2
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,1100,4,500,22
Panamanian,"No, different house in US or Puerto Rico",1200,0,11,1900,61
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",0999,4000,11,1900,56
Panamanian,"No, different house in US or Puerto Rico",0999,20000,11,1900,40
Panamanian,"No, different house in US or Puerto Rico",1200,100000,11,1900,38
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",1200,52000,11,1900,27
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",1200,20000,11,1900,27
Not Spanish/Hispanic/Latino,"No, different house in US or Puerto Rico",1200,-19999,11,1900,13
Not Spanish/Hispanic/Latino,"Yes, same house (nonmovers)",0999,-19999,11,1900,11
